"YEAR","DR_TYPE","FUEL","TIMESLICE","REGION","Val"
"2017","LO","ELC","S9","ATX",0.0725399999999942
"2017","LO","ELC","S10","ATX",0.0725399999999942
"2017","LO","ELC","S11","ATX",0.0725399999999942
"2017","LO","ELC","S12","ATX",0.0725399999999942
"2017","LO","ELC","S13","ATX",0.0725399999999942
"2017","LO","ELC","S14","ATX",0.0725399999999942
"2017","LO","ELC","S15","ATX",0.0725399999999942
"2017","LO","ELC","S16","ATX",0.0725399999999942
"2017","LO","ELC","S17","ATX",0.0725399999999942
"2017","LO","ELC","S18","ATX",0.0725399999999942
"2017","LO","ELC","S19","ATX",0.0725399999999942
"2017","LO","ELC","S20","ATX",0.0725399999999942
"2017","LO","ELC","S21","ATX",0.0725399999999942
"2017","LO","ELC","S22","ATX",0.0725399999999942
"2017","LO","ELC","S23","ATX",0.0725399999999942
"2017","LO","ELC","S24","ATX",0.0725399999999942
"2017","MED","ELC","W1","ATX",0.0694199999999944
"2017","MED","ELC","W2","ATX",0.0694199999999944
"2017","MED","ELC","W3","ATX",0.0694199999999944
"2017","MED","ELC","W4","ATX",0.0694199999999944
"2017","MED","ELC","W5","ATX",0.0694199999999944
"2017","MED","ELC","W6","ATX",0.0694199999999944
"2017","MED","ELC","W7","ATX",0.0694199999999944
"2017","MED","ELC","W8","ATX",0.0694199999999944
"2017","MED","ELC","W9","ATX",0.0694199999999944
