"REGION","TECHNOLOGY","YEAR","Val"
"ATX","PHEV","2041",37.5
"ATX","PHEV","2042",37.5
"ATX","PHEV","2043",37.5
"ATX","PHEV","2044",37.5
"ATX","PHEV","2045",37.5
"ATX","PHEV","2046",37.5
"ATX","PHEV","2047",37.5
"ATX","PHEV","2048",37.5
"ATX","PHEV","2049",37.5
"ATX","PHEV","2050",37.5
"ATX","HYBRID","2015",32
"ATX","HYBRID","2016",32
"ATX","HYBRID","2017",32
"ATX","HYBRID","2018",32
"ATX","HYBRID","2019",32
"ATX","HYBRID","2020",32
"ATX","HYBRID","2021",32
"ATX","HYBRID","2022",32
"ATX","HYBRID","2023",32
"ATX","HYBRID","2024",32
"ATX","HYBRID","2025",32
"ATX","HYBRID","2026",32
"ATX","HYBRID","2027",32
"ATX","HYBRID","2028",32
"ATX","HYBRID","2029",32
"ATX","HYBRID","2030",32
"ATX","HYBRID","2031",32
"ATX","HYBRID","2032",32
"ATX","HYBRID","2033",32
"ATX","HYBRID","2034",32
"ATX","HYBRID","2035",32
"ATX","HYBRID","2036",32
"ATX","HYBRID","2037",32
"ATX","HYBRID","2038",32
"ATX","HYBRID","2039",32
"ATX","HYBRID","2040",32
"ATX","HYBRID","2041",32
"ATX","HYBRID","2042",32
"ATX","HYBRID","2043",32
"ATX","HYBRID","2044",32
"ATX","HYBRID","2045",32
"ATX","HYBRID","2046",32
"ATX","HYBRID","2047",32
"ATX","HYBRID","2048",32
"ATX","HYBRID","2049",32
"ATX","HYBRID","2050",32
"ATX","H2V","2015",57.5
"ATX","H2V","2016",57.5
"ATX","H2V","2017",57.5
"ATX","H2V","2018",57.5
"ATX","H2V","2019",57.5
"ATX","H2V","2020",57.5
"ATX","H2V","2021",57.5
"ATX","H2V","2022",57.5
"ATX","H2V","2023",57.5
"ATX","H2V","2024",57.5
"ATX","H2V","2025",57.5
"ATX","H2V","2026",57.5
"ATX","H2V","2027",57.5
"ATX","H2V","2028",57.5
"ATX","H2V","2029",57.5
"ATX","H2V","2030",57.5
"ATX","H2V","2031",57.5
"ATX","H2V","2032",57.5
"ATX","H2V","2033",57.5
"ATX","H2V","2034",57.5
"ATX","H2V","2035",57.5
"ATX","H2V","2036",57.5
"ATX","H2V","2037",57.5
"ATX","H2V","2038",57.5
"ATX","H2V","2039",57.5
"ATX","H2V","2040",57.5
"ATX","H2V","2041",57.5
"ATX","H2V","2042",57.5
"ATX","H2V","2043",57.5
"ATX","H2V","2044",57.5
"ATX","H2V","2045",57.5
"ATX","H2V","2046",57.5
"ATX","H2V","2047",57.5
"ATX","H2V","2048",57.5
"ATX","H2V","2049",57.5
"ATX","H2V","2050",57.5
"ATX","EV","2015",38.886
"ATX","EV","2016",37.8563
"ATX","EV","2017",36.8539
"ATX","EV","2018",35.8781
"ATX","EV","2019",34.9281
"ATX","EV","2020",34.0032
"ATX","EV","2021",33.1028
"ATX","EV","2022",32.2263
"ATX","EV","2023",31.373
"ATX","EV","2024",30.5423
"ATX","EV","2025",29.7335
"ATX","EV","2026",28.9462
"ATX","EV","2027",28.1798
"ATX","EV","2028",27.4336
"ATX","EV","2029",26.7072
"ATX","EV","2030",26
"ATX","EV","2031",25.9818
"ATX","EV","2032",25.9636
"ATX","EV","2033",25.9454
"ATX","EV","2034",25.9273
"ATX","EV","2035",25.9091
"ATX","EV","2036",25.891
"ATX","EV","2037",25.8729
"ATX","EV","2038",25.8548
"ATX","EV","2039",25.8367
"ATX","EV","2040",25.8186
"ATX","EV","2041",25.8005
"ATX","EV","2042",25.7824
"ATX","EV","2043",25.7644
"ATX","EV","2044",25.7464
"ATX","EV","2045",25.7283
"ATX","EV","2046",25.7103
"ATX","EV","2047",25.6923
"ATX","EV","2048",25.6743
"ATX","EV","2049",25.6564
"ATX","EV","2050",25.6384
"ATX","ICE_PET_F","2015",33.495
"ATX","ICE_PET_F","2016",32.62467
"ATX","ICE_PET_F","2017",31.87096422
"ATX","ICE_PET_F","2018",31.21825501452
"ATX","ICE_PET_F","2019",30.6530088425743
"ATX","ICE_PET_F","2020",30.1635056576694
"ATX","ICE_PET_F","2021",29.7395958995417
"ATX","ICE_PET_F","2022",29.3724900490031
"ATX","ICE_PET_F","2023",29.0545763824367
"ATX","ICE_PET_F","2024",28.7792631471902
"ATX","ICE_PET_F","2025",28.5408418854667
"ATX","ICE_PET_F","2026",28.3343690728141
"ATX","ICE_PET_F","2027",28.155563617057
"ATX","ICE_PET_F","2028",28.0007180923714
"ATX","ICE_PET_F","2029",27.8666218679936
"ATX","ICE_PET_F","2030",27.7504945376825
"ATX","ICE_PET_F","2031",27.649928269633
"ATX","ICE_PET_F","2032",27.5628378815022
"ATX","ICE_PET_F","2033",27.4874176053809
"ATX","ICE_PET_F","2034",27.4221036462599
"ATX","ICE_PET_F","2035",27.365541757661
"ATX","ICE_PET_F","2036",27.3165591621345
"ATX","ICE_PET_F","2037",27.2741402344084
