"REGION","TECHNOLOGY","EMISSION","MODE_OF_OPERATION","YEAR","Val"
"ATX","ICE_DSL_PUB","CO2","1","2049",1.84E-5
"ATX","ICE_DSL_PUB","CO2","1","2050",1.84E-5
"ATX","CNG_PUB","CO2","1","2015",1.84E-5
"ATX","CNG_PUB","CO2","1","2016",1.84E-5
"ATX","CNG_PUB","CO2","1","2017",1.84E-5
"ATX","CNG_PUB","CO2","1","2018",1.84E-5
"ATX","CNG_PUB","CO2","1","2019",1.84E-5
"ATX","CNG_PUB","CO2","1","2020",1.84E-5
"ATX","CNG_PUB","CO2","1","2021",1.84E-5
"ATX","CNG_PUB","CO2","1","2022",1.84E-5
"ATX","CNG_PUB","CO2","1","2023",1.84E-5
"ATX","CNG_PUB","CO2","1","2024",1.84E-5
"ATX","CNG_PUB","CO2","1","2025",1.84E-5
"ATX","CNG_PUB","CO2","1","2026",1.84E-5
"ATX","CNG_PUB","CO2","1","2027",1.84E-5
"ATX","CNG_PUB","CO2","1","2028",1.84E-5
"ATX","CNG_PUB","CO2","1","2029",1.84E-5
"ATX","CNG_PUB","CO2","1","2030",1.84E-5
"ATX","CNG_PUB","CO2","1","2031",1.84E-5
"ATX","CNG_PUB","CO2","1","2032",1.84E-5
"ATX","CNG_PUB","CO2","1","2033",1.84E-5
"ATX","CNG_PUB","CO2","1","2034",1.84E-5
"ATX","CNG_PUB","CO2","1","2035",1.84E-5
"ATX","CNG_PUB","CO2","1","2036",1.84E-5
"ATX","CNG_PUB","CO2","1","2037",1.84E-5
"ATX","CNG_PUB","CO2","1","2038",1.84E-5
"ATX","CNG_PUB","CO2","1","2039",1.84E-5
"ATX","CNG_PUB","CO2","1","2040",1.84E-5
"ATX","CNG_PUB","CO2","1","2041",1.84E-5
"ATX","CNG_PUB","CO2","1","2042",1.84E-5
"ATX","CNG_PUB","CO2","1","2043",1.84E-5
"ATX","CNG_PUB","CO2","1","2044",1.84E-5
"ATX","CNG_PUB","CO2","1","2045",1.84E-5
"ATX","CNG_PUB","CO2","1","2046",1.84E-5
"ATX","CNG_PUB","CO2","1","2047",1.84E-5
"ATX","CNG_PUB","CO2","1","2048",1.84E-5
"ATX","CNG_PUB","CO2","1","2049",1.84E-5
"ATX","CNG_PUB","CO2","1","2050",1.84E-5
"ATX","PHEV_PUB","CO2","1","2015",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2016",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2017",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2018",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2019",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2020",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2021",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2022",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2023",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2024",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2025",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2026",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2027",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2028",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2029",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2030",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2031",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2032",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2033",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2034",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2035",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2036",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2037",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2038",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2039",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2040",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2041",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2042",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2043",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2044",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2045",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2046",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2047",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2048",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2049",6.93333E-6
"ATX","PHEV_PUB","CO2","1","2050",6.93333E-6
"ATX","HYBRID_PUB","CO2","1","2015",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2016",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2017",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2018",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2019",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2020",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2021",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2022",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2023",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2024",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2025",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2026",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2027",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2028",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2029",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2030",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2031",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2032",1.293333E-5
"ATX","HYBRID_PUB","CO2","1","2033",1.293333E-5
