scenario,quantity,region,technology,item,year,value
4,AnnualEmissions,ATX,COALGAS,CO2,2049,0.0
4,AnnualEmissions,ATX,COALGAS,CO2,2050,0.0
4,Total Storage Capacity,ATX,BAT,,2015,0.0
4,Total Storage Capacity,ATX,BAT,,2016,0.0
4,Total Storage Capacity,ATX,BAT,,2017,0.0
4,Total Storage Capacity,ATX,BAT,,2018,0.0
4,Total Storage Capacity,ATX,BAT,,2019,0.0
4,Total Storage Capacity,ATX,BAT,,2020,0.0
4,Total Storage Capacity,ATX,BAT,,2021,0.0
4,Total Storage Capacity,ATX,BAT,,2022,0.0
4,Total Storage Capacity,ATX,BAT,,2023,0.0
4,Total Storage Capacity,ATX,BAT,,2024,0.0
4,Total Storage Capacity,ATX,BAT,,2025,0.0
4,Total Storage Capacity,ATX,BAT,,2026,0.0
4,Total Storage Capacity,ATX,BAT,,2027,0.0
4,Total Storage Capacity,ATX,BAT,,2028,0.0
4,Total Storage Capacity,ATX,BAT,,2029,0.0
4,Total Storage Capacity,ATX,BAT,,2030,0.0
4,Total Storage Capacity,ATX,BAT,,2031,0.0
4,Total Storage Capacity,ATX,BAT,,2032,0.0
4,Total Storage Capacity,ATX,BAT,,2033,0.0
4,Total Storage Capacity,ATX,BAT,,2034,0.0
4,Total Storage Capacity,ATX,BAT,,2035,0.0
4,Total Storage Capacity,ATX,BAT,,2036,0.01
4,Total Storage Capacity,ATX,BAT,,2037,0.01
4,Total Storage Capacity,ATX,BAT,,2038,0.01
4,Total Storage Capacity,ATX,BAT,,2039,0.02
4,Total Storage Capacity,ATX,BAT,,2040,0.02
4,Total Storage Capacity,ATX,BAT,,2041,0.03
4,Total Storage Capacity,ATX,BAT,,2042,0.03
4,Total Storage Capacity,ATX,BAT,,2043,0.03
4,Total Storage Capacity,ATX,BAT,,2044,0.04
4,Total Storage Capacity,ATX,BAT,,2045,0.05
4,Total Storage Capacity,ATX,BAT,,2046,0.06
4,Total Storage Capacity,ATX,BAT,,2047,0.08
4,Total Storage Capacity,ATX,BAT,,2048,0.09
4,Total Storage Capacity,ATX,BAT,,2049,0.1
4,Total Storage Capacity,ATX,BAT,,2050,0.12
4,Total Storage Capacity,ATX,EV_BAT,,2015,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2016,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2017,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2018,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2019,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2020,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2021,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2022,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2023,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2024,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2025,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2026,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2027,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2028,0.0
4,Total Storage Capacity,ATX,EV_BAT,,2029,0.01
4,Total Storage Capacity,ATX,EV_BAT,,2030,0.01
4,Total Storage Capacity,ATX,EV_BAT,,2031,0.01
4,Total Storage Capacity,ATX,EV_BAT,,2032,0.01
4,Total Storage Capacity,ATX,EV_BAT,,2033,0.01
4,Total Storage Capacity,ATX,EV_BAT,,2034,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2035,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2036,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2037,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2038,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2039,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2040,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2041,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2042,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2043,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2044,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2045,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2046,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2047,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2048,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2049,0.02
4,Total Storage Capacity,ATX,EV_BAT,,2050,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2015,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2016,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2017,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2018,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2019,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2020,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2021,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2022,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2023,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2024,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2025,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2026,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2027,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2028,0.0
4,Total Storage Capacity,ATX,EV_BAT_F,,2029,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2030,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2031,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2032,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2033,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2034,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2035,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2036,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2037,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2038,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2039,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2040,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2041,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2042,0.02
4,Total Storage Capacity,ATX,EV_BAT_F,,2043,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2044,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2045,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2046,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2047,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2048,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2049,0.01
4,Total Storage Capacity,ATX,EV_BAT_F,,2050,0.01
4,New Storage Capacity,ATX,BAT,,2015,0.0
4,New Storage Capacity,ATX,BAT,,2016,0.0
4,New Storage Capacity,ATX,BAT,,2017,0.0
4,New Storage Capacity,ATX,BAT,,2018,0.0
4,New Storage Capacity,ATX,BAT,,2019,0.0
4,New Storage Capacity,ATX,BAT,,2020,0.0
4,New Storage Capacity,ATX,BAT,,2021,0.0
4,New Storage Capacity,ATX,BAT,,2022,0.0
4,New Storage Capacity,ATX,BAT,,2023,0.0
4,New Storage Capacity,ATX,BAT,,2024,0.0
4,New Storage Capacity,ATX,BAT,,2025,0.0
4,New Storage Capacity,ATX,BAT,,2026,0.0
4,New Storage Capacity,ATX,BAT,,2027,0.0
4,New Storage Capacity,ATX,BAT,,2028,0.0
4,New Storage Capacity,ATX,BAT,,2029,0.0
4,New Storage Capacity,ATX,BAT,,2030,0.0
4,New Storage Capacity,ATX,BAT,,2031,0.0
4,New Storage Capacity,ATX,BAT,,2032,0.0
4,New Storage Capacity,ATX,BAT,,2033,0.0
4,New Storage Capacity,ATX,BAT,,2034,0.0
4,New Storage Capacity,ATX,BAT,,2035,0.0
4,New Storage Capacity,ATX,BAT,,2036,0.0
4,New Storage Capacity,ATX,BAT,,2037,0.0
4,New Storage Capacity,ATX,BAT,,2038,0.0
4,New Storage Capacity,ATX,BAT,,2039,0.0
4,New Storage Capacity,ATX,BAT,,2040,0.0
4,New Storage Capacity,ATX,BAT,,2041,0.0
4,New Storage Capacity,ATX,BAT,,2042,0.0
4,New Storage Capacity,ATX,BAT,,2043,0.01
4,New Storage Capacity,ATX,BAT,,2044,0.01
4,New Storage Capacity,ATX,BAT,,2045,0.01
4,New Storage Capacity,ATX,BAT,,2046,0.02
4,New Storage Capacity,ATX,BAT,,2047,0.02
4,New Storage Capacity,ATX,BAT,,2048,0.02
4,New Storage Capacity,ATX,BAT,,2049,0.02
4,New Storage Capacity,ATX,BAT,,2050,0.02
4,New Storage Capacity,ATX,EV_BAT,,2015,0.0
4,New Storage Capacity,ATX,EV_BAT,,2016,0.0
4,New Storage Capacity,ATX,EV_BAT,,2017,0.0
4,New Storage Capacity,ATX,EV_BAT,,2018,0.0
4,New Storage Capacity,ATX,EV_BAT,,2019,0.0
4,New Storage Capacity,ATX,EV_BAT,,2020,0.0
4,New Storage Capacity,ATX,EV_BAT,,2021,0.0
4,New Storage Capacity,ATX,EV_BAT,,2022,0.0
4,New Storage Capacity,ATX,EV_BAT,,2023,0.0
4,New Storage Capacity,ATX,EV_BAT,,2024,0.0
4,New Storage Capacity,ATX,EV_BAT,,2025,0.0
4,New Storage Capacity,ATX,EV_BAT,,2026,0.0
4,New Storage Capacity,ATX,EV_BAT,,2027,0.0
4,New Storage Capacity,ATX,EV_BAT,,2028,0.0
4,New Storage Capacity,ATX,EV_BAT,,2029,0.0
4,New Storage Capacity,ATX,EV_BAT,,2030,0.0
4,New Storage Capacity,ATX,EV_BAT,,2031,0.0
4,New Storage Capacity,ATX,EV_BAT,,2032,0.0
4,New Storage Capacity,ATX,EV_BAT,,2033,0.0
